_id,geometry.coordinates,geometry.type,properties.description,properties.id,properties.name,properties.parent_station,properties.route_id,properties.route_variante_id,properties.wheelchair_boarding,type
615615f357da3ca0b0969440,"[5.957604,47.21816]",Point,,MAROT2,Marot,st_marot,4,116-1,available,Feature
615615f357da3ca0b0969441,"[6.013741,47.242275]",Point,,VOIRIN2,Voirin,st_voirin,10,88-4,available,Feature
615615f357da3ca0b0969442,"[5.972474,47.22248]",Point,,t_epo2,Epoisses,st_epoisses,101,15-1,available,Feature
615615f357da3ca0b0969443,"[6.011668,47.24433]",Point,,DEMAN1,Demangel,st_demangel,6,155-3,unknown,Feature
615615f357da3ca0b0969444,"[6.00878,47.246235]",Point,,METIN1,Métin,st_metin,6,155-3,unknown,Feature
615615f357da3ca0b0969445,"[6.021949,47.246204]",Point,,GAREVIO2,Gare Viotte,st_gare_viotte,5,109-3,available,Feature
615615f357da3ca0b0969446,"[5.970604,47.221764]",Point,,COLDIDE1,Collège Diderot,st_college_diderot,4,116-4,available,Feature
615615f357da3ca0b0969448,"[6.011548042297363,47.246551513671875]",Point,,st_fanart,Fanart,,,,unknown,Feature
615615f357da3ca0b0969447,"[6.046945571899414,47.26683044433594]",Point,,st_college_proudhon,Collège Proudhon,,,,unknown,Feature
615615f357da3ca0b0969449,"[6.0421319007873535,47.256683349609375]",Point,,st_belfort,Belfort,,,,unknown,Feature
615615f357da3ca0b096944a,"[5.957554,47.21816]",Point,,MAROT1,Marot,st_marot,4,116-4,available,Feature
615615f357da3ca0b096944b,"[6.032386,47.26349]",Point,,ECOLE4V2,Ecole des 4 vents,st_ecole_des_4_vents,11,55-0,unknown,Feature
615615f357da3ca0b096944c,"[6.040486,47.262215]",Point,,CHOPIN4,Chopin,st_chopin,4,116-1,available,Feature
615615f357da3ca0b096944d,"[6.008889,47.234303]",Point,,LABUTTE3,La Butte,st_la_butte,4,116-4,unknown,Feature
615615f357da3ca0b096944e,"[5.9781675,47.22066]",Point,,t_micro2,Micropolis,st_micropolis,101,15-1,available,Feature
615615f357da3ca0b096944f,"[6.012517,47.234863]",Point,,CROIXAR1,"Croix d'Arènes",st_croix_darenes,4,116-4,unknown,Feature
615615f357da3ca0b0969450,"[5.987565,47.246677]",Point,,BIBLIOU2,Bibliothèques Univ.,st_bibliotheques_univ,7,63-5,unknown,Feature
615615f357da3ca0b0969451,"[6.01109,47.21915]",Point,,VELOTTE2,Velotte,st_velotte,9,5-4,unknown,Feature
615615f357da3ca0b0969452,"[6.01074,47.22983]",Point,,POLYGON1,Polygone,st_polygone,9,5-2,unknown,Feature
615615f357da3ca0b0969453,"[5.999639,47.24769]",Point,,INTERMA1,Intermarché,st_intermarche,9,5-4,available,Feature
615615f357da3ca0b0969454,"[6.045239448547363,47.25891876220703]",Point,,st_lebeuf,Lebeuf,,,,unknown,Feature
615615f357da3ca0b0969455,"[6.049907684326172,47.22819519042969]",Point,,st_charmarin,Charmarin,,,,unknown,Feature
615615f357da3ca0b0969456,"[5.994856834411621,47.243125915527344]",Point,,st_st_martin,St Martin,,,,available,Feature
615615f357da3ca0b0969457,"[6.008380889892578,47.26948547363281]",Point,,st_ecole_des_torcols,Ecole des Torcols,,,,unknown,Feature
615615f357da3ca0b0969458,"[6.008727073669434,47.23429870605469]",Point,,st_la_butte,La Butte,,,,unknown,Feature
615615f357da3ca0b0969459,"[6.011555,47.24649]",Point,,FANART1,Fanart,st_fanart,9,5-4,unknown,Feature
615615f357da3ca0b096945a,"[5.992452,47.281998]",Point,,CENTCOM4,École-Valentin - Centre Commercial,st_ecolevalentin__centre_commercial,8,45-1,available,Feature
615615f357da3ca0b096945b,"[5.962015,47.22024]",Point,,PAVIE1,Pavie,st_pavie,7,63-4,available,Feature
615615f357da3ca0b096945c,"[6.039542198181152,47.238929748535156]",Point,,st_fabre,Fabre,,,,unknown,Feature
615615f357da3ca0b096945d,"[6.010323524475098,47.25893020629883]",Point,,st_college_camus,Collège Camus,,,,available,Feature
615615f357da3ca0b096945e,"[6.031498908996582,47.24897384643555]",Point,,st_marie_louise,Marie Louise,,,,unknown,Feature
615615f357da3ca0b096945f,"[6.025302886962891,47.240882873535156]",Point,,st_courbet,Courbet,,,,unknown,Feature
615615f357da3ca0b0969460,"[6.037428,47.267063]",Point,,CHEPLAN2,Chemin des Planches,st_chemin_des_planches,11,55-0,unknown,Feature
615615f357da3ca0b0969462,"[6.014240264892578,47.21941375732422]",Point,,st_journaux,Journaux,,,,unknown,Feature
615615f357da3ca0b0969461,"[5.961878776550293,47.22040557861328]",Point,,st_pavie,Pavie,,,,unknown,Feature
615615f357da3ca0b0969463,"[5.963461875915527,47.219810485839844]",Point,,st_vivarais,Vivarais,,,,unknown,Feature
615615f357da3ca0b0969464,"[6.028107643127441,47.26929473876953]",Point,,st_chemin_de_la_selle,Chemin de la Selle,,,,unknown,Feature
615615f357da3ca0b0969465,"[6.015066,47.237698]",Point,,JANVIER2,Janvier,st_janvier,10,88-4,available,Feature
615615f357da3ca0b0969466,"[5.98457,47.235043]",Point,,LAVOISI2,Lavoisier,st_lavoisier,10,88-4,unknown,Feature
